time_s,layer,hot_radius_m,alpha_avg,saved_set,saved_time_s,surface_node_count,h_W_m2_K,surface_temperature_mean_C,surface_temperature_std_C,surface_temperature_min_C,surface_temperature_max_C,recession_rate_mean_um_s,recession_rate_std_um_s,recession_rate_min_um_s,recession_rate_max_um_s,controller_rate_from_Ts_max_um_s,temperature_unit
0.05,0,0.13335,0.0022948754,1,0.05,135900,988.94701,570.0832788347421,5.6492698157517705,532.1466458624977,615.9709866264284,78.21001348589931,0.26603945204623636,76.04903675178778,79.99655252148828,76.04903659291713,degC
0.1,0,0.13335,0.0064741005,2,0.1,135900,979.85487,766.0456996284696,2.5817694266725857,739.0354042588451,792.2142555558048,68.3474108245708,0.12046473075915437,67.12639239760571,69.60770460828817,67.12639219024067,degC
0.15,0,0.13335,0.0140715,3,0.15000000000000002,135900,963.83159,883.2407377155322,1.3831220452960586,867.3278190683866,896.1816199594181,61.85087514125551,0.06348079619436914,61.25693080272563,62.5812262689326,61.25693080086306,degC
0.2,0,0.13335,0.02518458,4,0.2,135900,947.76351,960.6892155976759,1.1895636957227744,951.6932527855522,967.7643839822412,57.32438301378569,0.05368690779175182,57.005069374643014,57.73038517048322,57.005069554367914,degC
0.25,0,0.13335,0.039619571,5,0.25,135900,932.94382,1016.1178416572569,0.7964251611553389,1011.7097562611209,1021.1710080256767,53.96556476576779,0.035381901532970335,53.741073321251164,54.16139790997528,53.741073677799044,degC
0.3,0,0.13335,0.057018534,6,0.30000000000000004,135900,919.90084,1057.8499724136475,0.4841451260318872,1055.1178082686793,1061.334544359513,51.38303384270042,0.021207881338982795,51.23039285888889,51.50271575184204,51.23039480204857,degC
0.35,0,0.13335,0.076929066,7,0.35000000000000003,135900,908.79597,1090.3358790248203,0.4154803003803002,1086.96865600913,1092.794516194564,49.356887470015984,0.01798032488571458,49.2504874913705,49.50260740843268,49.250488192206426,degC
0.4,0,0.13335,0.098894225,8,0.4,135900,899.51963,1116.2595262700393,0.38954657099118634,1112.406909106025,1118.4669132741328,47.742667168147584,0.016685942257417173,47.64811536142428,47.90769120461926,47.648115930012054,degC
0.45,0,0.13335,0.12249807,9,0.45,135900,891.80733,1137.4714264570703,0.3790360799465662,1133.3550206703067,1139.774140727242,46.432525064310894,0.016096531163372098,46.334735661214005,46.60733653354376,46.33473739077842,degC
0.5,0,0.13335,0.14737714,10,0.5,135900,885.388,1155.2611715145483,0.3871514519208753,1150.8946764705895,1157.4474438562083,45.348259127384615,0.01632282141492,45.25608297043045,45.532356380431324,45.256084819466665,degC
0.55,0,0.13335,0.17321838,11,0.55,135900,880.02765,1170.5224838882923,0.41367415140194347,1166.0179305275806,1172.6494360616362,44.43416820162492,0.017335461491618888,44.3450359767311,44.622936368688094,44.34503748793285,degC
0.6,0,0.13335,0.1997518,12,0.6000000000000001,135900,875.53801,1183.8824570228649,0.4502233387287759,1179.0606734989815,1186.210837053516,43.65047043394238,0.01877084028791183,43.55339494734431,43.85150161256867,43.55339649219009,degC
0.65,0,0.13335,0.22674493,13,0.65,135900,871.76396,1195.7939037020892,0.48388515529960435,1190.7860236165163,1198.3524855368057,42.967838158609915,0.02008731615091419,42.861624852313874,43.17572812882915,42.86162425190952,degC
0.7,0,0.13335,0.25400036,14,0.7000000000000001,135900,868.57344,1206.5748503582963,0.5081561521168195,1201.6029248523905,1209.4842270519712,42.364675725276626,0.02101766367148902,42.24434204322515,42.570317746233215,42.24434316211199,degC
0.75,0,0.13335,0.28135236,15,0.75,135900,865.85456,1216.4572582634885,0.5215174161182085,1211.5764988132075,1219.5370600235697,41.82459909826002,0.021502772993588964,41.6976152697904,42.0258385185595,41.69761362151542,degC
0.8,0,0.13335,0.30866312,16,0.8,135900,863.5133,1225.6216121191023,0.523420443092866,1220.7248143916306,1229.1709061580386,41.33467059393876,0.021522881623932514,41.18872475545151,41.53602535418074,41.18872500866809,degC
0.85,0,0.13335,0.33581704,17,0.8500000000000001,135900,861.47729,1234.20989489035,0.5151104401066224,1229.3822571227106,1238.0573335493557,40.88489604072269,0.021131235523512395,40.72706361075119,41.08293891220686,40.72706498703729,degC
0.9,0,0.13335,0.36271784,18,0.9,135900,859.68486,1242.329817169751,0.49831710491660575,1237.6543166691106,1246.4844703885947,40.46742071350461,0.02039979383694465,40.297340119657456,40.65882342747238,40.29733890744428,degC
0.95,0,0.13335,0.38928619,19,0.9500000000000001,135900,858.08449,1250.062818462526,0.47452057157599664,1245.6404944173655,1254.5209097893824,40.07610802229146,0.019389463935966553,39.89394521169246,40.2568093400489,39.893945611698044,degC
1.0,0,0.13335,0.41545701,20,1.0,135900,856.63528,1257.471922736046,0.4451157060069719,1253.3773713993992,1262.137302593411,39.706190560136605,0.018157229402270485,39.51587965630708,39.87321613779103,39.51587976209789,degC
1.05,0,0.13335,0.44117713,21,1.05,135900,855.30643,1264.60733023708,0.41238309430421194,1260.683636937669,1269.3485989875892,39.3539794470758,0.016795900580080406,39.160872892377306,39.513787071282195,39.16087285114295,degC
1.1,0,0.13335,0.46640318,22,1.1,135900,854.07419,1271.5087625416552,0.37871238665137136,1267.6994676450406,1276.2497272271796,39.01659953884921,0.015402308327249382,38.8237835591536,39.17152432233956,38.82378466648843,degC
